show_id,show,show_ja,date,episode,segment,name_ja,metadata,knightscoop_host,knightscoop_detective,knightscoop_location
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-17,26,2,直木三十五はどんな人？,"ホスト:香川登枝緒
中島健仁, 探偵: , 位置: ","香川登枝緒
中島健仁",,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-17,26,3,映倫とは？,"ホスト:香川登枝緒
中島健仁, 探偵: , 位置: ","香川登枝緒
中島健仁",,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-24,27,1,天皇陛下ご重体の報を受けて、本来の9月24日放送分は、村西とおる顧問のエッチ発言が時節に合わないと「自粛」。急遽、替わりに過去の放送分を差し替えて、再放送。,"ホスト:再放送, 探偵: , 位置: ",再放送,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-01,28,1,現代の質屋,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-01,28,2,テトラパックの牛乳だ！,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-01,28,3,口臭の悩みを解決？,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-15,29,1,パチンコ業界の実態,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-15,29,2,中古車の値段,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-15,29,3,ロータスクーポンとは何か,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-22,30,1,粗大ゴミの値打ち,"ホスト:香川登枝緒, 探偵: 越前屋俵太, 位置: ",香川登枝緒,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-22,30,2,５００円硬貨,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-22,30,3,秋はなぜ淋しいのか,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-29,31,1,引き出物は役に立たない？,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-29,31,2,タヌキの金玉の謎,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-10-29,31,3,女性は足を見せたいか？ミニスカートの謎,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-05,32,1,ヘチマ村の謎,"ホスト:中島健仁, 探偵: 桂小枝, 位置: ",中島健仁,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-05,32,2,女子大生の話（中継）,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-05,32,3,なぜネクタイをするのでしょう？,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-12,33,1,阪神電車の地下工事,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-12,33,2,女子トイレの水の無駄使い,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-12,33,3,ジョギングはシェイプアップによいか,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-19,34,1,幼稚園行くのも大変だあ～,"ホスト:香川登枝緒, 探偵: みやなおこ, 位置: ",香川登枝緒,みやなおこ,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-19,34,2,インベーダーゲーム大作戦,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-19,34,3,背の高い女の子の悩み,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-26,35,1,頑張れＢ級ドリンク,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-26,35,2,女性は恋をすると美人になるか,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-11-26,35,3,カード地獄,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-03,36,1,ベンツに乗ってるヤツらは何者か,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-03,36,2,タクシー乗車拒否,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-03,36,3,プチプチは精神安定剤？,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-10,37,1,テレビＣＭ・裏の実態,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-10,37,2,ジェニー人形ブームの謎,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-10,37,3,試供品・試食品、タダで楽しい一日を,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-17,38,1,車検は高い！安全か？,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-17,38,2,宗教法人を作って儲けよう,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-17,38,3,ツムジの謎,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-24,39,1,チリメンジャコは親か子か？,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-24,39,2,朝日新聞のスッテンコロリン写真の人物,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-12-24,39,3,ズワイガニ漁,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-14,40,1,警察は指紋を集めているか?,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-14,40,2,恩赦はあるか?,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-14,40,3,化粧品の値段,"ホスト:中島健仁, 探偵: 桂小枝, 位置: ",中島健仁,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-21,41,1,電車のマナー,"ホスト:香川登枝緒, 探偵: 北野誠, 位置: ",香川登枝緒,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-21,41,2,動物の謎に挑む(初の小ネタ集),"ホスト:香川登枝緒, 探偵: 桂小枝, 位置: ",香川登枝緒,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-21,41,3,大学検定の実態,"ホスト:香川登枝緒, 探偵: 嘉門達夫, 位置: ",香川登枝緒,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-28,42,1,桂三枝不出馬の波紋,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-28,42,2,お初天神・大阪の名所が春に消える,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-01-28,42,3,東京ロケ・大阪人は嫌われる?,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-04,43,1,千里のNEW土地成金,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-04,43,2,桂小枝のどこへ行くんだろう?,"ホスト:中島健仁, 探偵: 桂小枝, 位置: ",中島健仁,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-04,43,3,放置自転車の行方,"ホスト:中島健仁, 探偵: 槍魔栗三助, 位置: ",中島健仁,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-11,44,1,高槻のポンポン山の怪,"ホスト:香川登枝緒, 探偵: 桂小枝, 位置: ",香川登枝緒,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-11,44,2,ラブホテルの若者たち,"ホスト:香川登枝緒, 探偵: 槍魔栗三助, 位置: ",香川登枝緒,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-11,44,3,直訴のコーナー,"ホスト:香川登枝緒, 探偵: ***, 位置: ",香川登枝緒,***,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-18,45,1,男女の産み分け法,"ホスト:中島健仁, 探偵: 屋田容子, 位置: ",中島健仁,屋田容子,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-18,45,2,結婚は金がかかる?,"ホスト:中島健仁, 探偵: 北野誠, 位置: ",中島健仁,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-18,45,3,直訴のコーナー,"ホスト:中島健仁, 探偵: ***, 位置: ",中島健仁,***,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-25,46,1,40歳で転職・年収600万希望,"ホスト:若林正人, 探偵: 北野誠, 位置: ",若林正人,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-25,46,2,手塚治虫ペンネームの由来,"ホスト:若林正人, 探偵: 嘉門達夫, 位置: ",若林正人,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-02-25,46,3,スキーギャルの生態・徹底調査?,"ホスト:若林正人, 探偵: トミーズ雅, 位置: ",若林正人,トミーズ雅,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-03-04,47,1,一周年記念スペシャル 秘蔵ビデオを今夜一挙公開！！,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-03-11,48,1,消費税導入でよみがえる?一円玉,"ホスト:香川登枝緒, 探偵: 槍魔栗三助, 位置: ",香川登枝緒,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-03-11,48,2,交通安全協会とは何か?,"ホスト:香川登枝緒, 探偵: 北野誠, 位置: ",香川登枝緒,北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1989-03-11,48,3,東本願寺に琵琶湖の魚がいる?,"ホスト:香川登枝緒, 探偵: 桂小枝, 位置: ",香川登枝緒,桂小枝,
